NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
656	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
657	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
658	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
660	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
661	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
662	EM USO		121			11/12/2011		133838	487	BEA.SC	03/12/2025	<null>	<null>	N
663	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
664	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
665	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
666	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
667	BAIXA		1			<null>	DESCARTADO	7808	501	BEA.SC	02/12/2025	<null>	<null>	S
668	EM USO		1			<null>		7808	501	BEA.SC	03/12/2025	<null>	<null>	N
669	EM USO		1			<null>		7808	530	BEA.SC	03/12/2025	<null>	<null>	N
670	EM USO		1			<null>		7808	530	BEA.SC	03/12/2025	<null>	<null>	N
671	EM USO		1			<null>		7808	530	BEA.SC	03/12/2025	<null>	<null>	N
672	BAIXA		116			<null>	BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
673	BAIXA		103			<null>	BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
674	BAIXA		131			<null>	#NOME?	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
676	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
677	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
678	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
679	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
680	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
681	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
682	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
683	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
684	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
685	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
686	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
687	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
688	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
689	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
690	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
691	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
692	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
695	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
696	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
700	BAIXA		50	EXTENSOR DE 07 METROS		<null>	ENTREGUE PARA A EQUIPE MÓVEL DE ITAJAI EM 06/01/2017 - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
701	BAIXA		50	BOMBA DE VENENO DE 20 LITROS		<null>	ENTREGUE PARA A EQUIPE MÓVEL DE ITAJAI EM 06/01/2017 - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
702	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
703	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
704	BAIXA		50	ESTALOQUE PARA ENCERADEIRA		<null>	ENTREGUE PARA A EQUIPE MÓVEL  DE ITAJAI EM 06/01/2017 - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
705	BAIXA		50			<null>	ENTREGUE PARA A EQUIPE MÓVEL  DE ITAJAI EM 06/01/2017 BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
706	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
707	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
708	BAIXA	MARCA A	50	MOD M		<null>	ENTREGUE PARA A EQUIPE MÓVEL  DE ITAJAI EM 06/01/2017 - BAIXA	7808	487	BEA.SC	12/11/2025	121212	<null>	N
709	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
710	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
711	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
712	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
713	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
714	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
715	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
716	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
717	BAIXA	ELETROLUX	4634	SUPER LUXO 220 V		11/12/2011		133838	463	BEA.SC	12/11/2025	<null>	<null>	S
718	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
719	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
720	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
721	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
722	BAIXA		504	ESCADA DE 5 DEGRAUS		<null>	ENTREGUE EM 09/01/2017.	133838	8	SISTEMA	03/12/2025	<null>	<null>	N
723	BAIXA		504	MANGUEIRA DE 30 METROS - NOVA		<null>	ENTREGUE EM 09/01/2017.	7808	501	BEA.SC	12/11/2025	<null>	<null>	N
724	BAIXA		504			<null>	ENTREGUE EM 09/01/2017.	7808	501	BEA.SC	12/11/2025	<null>	<null>	N
725	BAIXA		301	03 PLACAS DE PISO MOLHADO		<null>	ENTREGUE PARA EQUIPE MÓVEL EM 06/01/2017. - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
726	BAIXA		301			<null>	ENTREGUE PARA A EQUIPE MÓVEL EM 06/01/2017.  - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
746	CONSERTO	CLEANER	1642	CL 400 110 V		<null>	GARAGEM (DEFEITO) - 220V	185895	999915	TIAGOP	21/11/2025	45608	42	N
766	Á DISPOSIÇÃO	CLEANER	1642			15/07/2025		185895	999915	TIAGOP	15/07/2025	<null>	1112	S
777	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
788	EM USO		1309			<null>		133838	379	BEA.SC	20/08/2025	44079	124	N
795	BAIXA		538	350		<null>	CIDA E LEANDRO LEVARAM PARA AG. GAROPABA EM 24/02/15. VãO DEIXAR NA AGêNCIA. - BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
798	EM USO	CLEANER	2039	350MM		1899-12-30	SALA VILMAR	133838	8	BEA.SC	21/10/2025	<null>	43	N
803	EM USO	CLEANER	50	CLEANER 350		<null>	BAIXA	7808	487	BEA.SC	12/11/2025	<null>	<null>	N
804	Á DISPOSIÇÃO	WAP	2038	127V 1300W		<null>	SALA ANDRÉ	133838	8	BEA.SC	29/10/2025	<null>	<null>	N
807	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
808	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
809	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
810	EM USO		1			11/12/2011	FINANCEIRO	133838	100001	BEA.SC	03/12/2025	44136	<null>	N
811	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
812	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
813	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
814	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
815	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
816	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
817	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
818	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
819	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
820	EM USO		2038			11/12/2011	SALA ANDRÉ	133838	8	BEA.SC	29/10/2025	<null>	795	N
821	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
834	EM USO		2032			1899-12-30		133838	8	BEA.SC	15/10/2025	<null>	1257	N
837	EM USO		1			<null>	SALA DO BOSCO	133838	8	RYAN	01/07/2024	44136	451	N
841	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
842	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
843	EM USO	ELECTROLUX	530	SUPER LUXO		<null>	220V	185895	8	BEA.SC	10/09/2025	<null>	693	N
844	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
845	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
846	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
848	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
849	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
850	BAIXA		1	ALUMINIO P/ PINCEL ATOMICO	BRANCO	11/12/2011		133838	100001	BRUNO	02/12/2025	<null>	<null>	S
851	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
852	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
853	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
854	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
855	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
856	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
857	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
858	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
859	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
860	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
861	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
862	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
863	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
865	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
866	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
867	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
868	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
869	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
870	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
871	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
872	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
873	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
874	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
875	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
876	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
877	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
878	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
879	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
880	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
881	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
882	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
883	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
884	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
885	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
886	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
887	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
888	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
889	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
890	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
891	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
892	EM USO	CLEANER	504			<null>		133838	648	RYAN	01/11/2024	42773	43	N
893	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
894	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
895	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
899	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
900	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
903	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
904	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
905	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
906	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
907	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
908	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
909	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
910	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
914	EM USO		1			10/05/2010		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
923	EM USO		1			26/03/2012		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
931	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
932	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
933	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
935	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
936	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
937	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
938	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
939	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
940	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
941	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
942	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
943	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
944	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
946	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
947	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
948	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
949	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
950	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
951	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
952	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
953	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
954	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
955	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
956	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
957	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
958	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
959	EM USO		1			1899-12-31		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
960	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
961	EM USO		2058			11/12/2011	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	455	S
962	EM USO		1968			11/12/2011	DEPARTAMENTO PESSOAL - RITA	133838	8	BEA.SC	14/11/2025	<null>	278	N
963	EM USO		2031			11/12/2011	SOLIMAR	133838	8	BEA.SC	15/10/2025	<null>	<null>	N
964	EM USO		2049			11/12/2011		133838	8	BEA.SC	10/11/2025	<null>	<null>	N
965	EM USO		2020			11/12/2011	FICANCEIRO - BRUNO	133838	8	BEA.SC	04/11/2025	<null>	<null>	N
966	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
967	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
968	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
970	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
972	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
973	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
974	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
975	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
976	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
977	EM USO	CONSUL	2056	TOP		11/12/2011		14657	999914	BEA.SC	21/11/2025	<null>	<null>	S
978	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
979	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
980	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
981	EM USO		1968			11/12/2011	DEPARTAMENTO PESSOAL	133838	8	BEA.SC	13/11/2025	<null>	170	N
982	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
983	Á DISPOSIÇÃO		2059			11/12/2011	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	<null>	S
984	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
985	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
986	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
987	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
988	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
989	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
990	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
991	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
992	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
993	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
994	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
995	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
996	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
997	EM USO		2034			11/12/2011	VITÓRIA	133838	8	BEA.SC	16/10/2025	<null>	<null>	N
998	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
999	EM USO		2030			11/12/2011	MESA PARA SERVIR CAFÉ	133838	8	BEA.SC	20/10/2025	<null>	<null>	N
1000	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
1002	BAIXA	ELETROLUX	1	GT 3000 PRO 110 V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1033	Á DISPOSIÇÃO	LAVOR	1642	BL-25		02/12/2025	220V	185895	999915	TIAGOP	02/12/2025	<null>	9	N
1035	EM USO		1118			<null>		133838	379	BEA.SC	20/08/2025	44079	124	N
1129	BAIXA	MK TECH	1	MK TECH 110 V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1151	EM USO		223	350MM BIVOLT		<null>		133838	631	BEA.SC	28/08/2025	53196	126	N
1180	BAIXA	WAP	1	TURBO GT 1300 W 110 V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1207	BAIXA	BANDEIRANTE	1	MD 35 A		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1210	Á DISPOSIÇÃO	CLEANER	1642			<null>	220V	185895	999915	TIAGOP	21/11/2025	<null>	42	N
1211	Á DISPOSIÇÃO	CLEANER	1642	INDUSTRIAL 300MM 110V		<null>		185895	999915	TIAGOP	12/11/2025	<null>	126	N
1225	EM USO		1			<null>		133838	8	RYAN	18/11/2024	44136	50	N
1263	EM USO		2058			<null>	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	49	S
1301	BAIXA	STHIL CLEAN	1	350 110 V		<null>	BAIXA SOLICITADA POR BRUNO, PELO WHATSAPP	133838	100001	RYAN	27/03/2025	44136	<null>	S
1309	BAIXA	CLEANER	1			<null>		133838	100001	BEA.SC	04/11/2025	44136	343	N
1323	Á DISPOSIÇÃO	CLEANER	1642			15/07/2025		185895	999915	TIAGOP	15/07/2025	<null>	345	S
1339	EM USO	CLEANER	1556			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1391	Á DISPOSIÇÃO	CLEANER	1696			<null>		133838	8	RYAN	28/03/2025	44136	343	N
1404	EM USO	LAVOR	1	KRONOS 23 1400 W - 110  V		<null>		133838	199	TEIXEIRA	12/08/2019	<null>	<null>	S
1418	BAIXA	LAVOR PRO	1	KRONOS 23 110 V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1465	EM USO		1969			<null>	STI	133838	8	BEATRIZ.SC	13/06/2025	44136	533	N
1467	EM USO		1			<null>	STI	133838	8	RYAN	10/04/2024	44136	533	<null>
1475	EM USO	LAVOR	1	KRONOS 23 1400W - 110 V		<null>		133838	199	TEIXEIRA	12/08/2019	<null>	<null>	S
1480	EM USO	CLEANER	1549			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1497	BAIXA	LAVOR	1	KRONOS 23 110V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1505	Á DISPOSIÇÃO	ELETROLUX	1642	GT 3000 PRO 110V		<null>		185895	999915	TIAGOP	07/10/2025	<null>	<null>	S
1508	EM USO	ELETROLUX	1	GT 3000 PRO 110 V		<null>		133838	199	TEIXEIRA	17/09/2019	<null>	<null>	S
1513	Á DISPOSIÇÃO	CLEANER	1642	INDUSTRIAL 300MM 110V		<null>		185895	999915	TIAGOP	12/11/2025	<null>	126	N
1520	Á DISPOSIÇÃO	ELETROLUX	1642	GT 3000 PRO 110V		<null>		185895	999915	TIAGOP	07/10/2025	<null>	<null>	S
1528	EM USO	ELETROLUX	1	BT 3000 110 V		<null>		133838	199	TEIXEIRA	17/09/2019	<null>	<null>	S
1537	EM USO	CLEANER	554			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1548	EM USO	CLEANER	1429			<null>	BIVOLT	133838	721	RYAN	12/09/2024	44913	43	N
1560	Á DISPOSIÇÃO		1642			29/05/2025		185895	999915	TIAGOP	21/11/2025	51699	1191	N
1568	Á DISPOSIÇÃO	CLEANER	1642			<null>		185895	999915	TIAGOP	13/11/2025	<null>	43	S
1570	Á DISPOSIÇÃO	CLEANER	1642			<null>		185895	999915	TIAGOP	13/11/2025	<null>	43	S
1572	Á DISPOSIÇÃO	CLEANER	1642			<null>		185895	999915	TIAGOP	13/11/2025	<null>	43	S
1573	EM USO	CLEANER	1534			<null>		133838	650	BEA.SC	15/08/2025	53258	43	N
1577	EM USO	CLEANER	1651			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1581	Á DISPOSIÇÃO	CLEANER	1642			15/07/2025		185895	999915	TIAGOP	15/07/2025	<null>	343	S
1584	Á DISPOSIÇÃO	CLEANER	1642			15/07/2025		185895	999915	TIAGOP	15/07/2025	<null>	343	S
1594	EM USO	CLEANER	1663			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1651	BAIXA	LAVOR	1	KRONOS 23 110V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1654	EM USO	CLEANER	1664			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1658	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	390	N
1673	BAIXA		1	REDONDO C/ TAMPA	PRETO	19/11/2019	QUANTIDADE 8 CESTOS - BAIXA	133838	673	BEA.SC	11/11/2025	<null>	<null>	S
1685	EM USO	CLEANER	1660			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1686	CONSERTO	ELECTROLUX	1642			<null>	220V	185895	999915	TIAGOP	23/10/2025	44136	355	N
1688	BAIXA	LAVOR	1	KRONOS 23 110V		<null>		133838	100001	BEA.SC	12/11/2025	<null>	<null>	S
1706	EM USO	CLEANER	1665			<null>	SAíDA DA MATRIZ 22/12/2024	133838	736	RYAN	28/02/2025	44136	343	N
1724	EM USO		1			<null>	CONTABILIDADE - GABRIELLA	133838	8	RYAN	08/07/2024	44136	402	<null>
1758	Á DISPOSIÇÃO	CLEANER	1642			16/07/2025		185895	999915	TIAGOP	16/07/2025	<null>	345	S
1764	EM USO	LG	1			<null>	SERVIDOR	133838	195	RYAN	09/08/2024	44233	665	N
